party1	party2	score
ODS	SZ	164
ODS	Svob.	236
ODS	TOP09	100
ODS	Piráti	210
ODS	SPO	424
ODS	KDU-ČSL	134
ODS	ČSSD	226
ODS	DSSS	498
ODS	ANO	204
ODS	ND	544
ODS	KSČM	428
ODS	BPI	458
ODS	IvČRN	426
ODS	Úsvit	398
ODS	SPD	526
SZ	Svob.	318
SZ	TOP09	116
SZ	Piráti	120
SZ	SPO	498
SZ	KDU-ČSL	86
SZ	ČSSD	308
SZ	DSSS	574
SZ	ANO	268
SZ	ND	622
SZ	KSČM	500
SZ	BPI	538
SZ	IvČRN	516
SZ	Úsvit	464
SZ	SPD	606
Svob.	TOP09	306
Svob.	Piráti	312
Svob.	SPO	278
Svob.	KDU-ČSL	334
Svob.	ČSSD	192
Svob.	DSSS	338
Svob.	ANO	314
Svob.	ND	372
Svob.	KSČM	284
Svob.	BPI	276
Svob.	IvČRN	244
Svob.	Úsvit	236
Svob.	SPD	364
TOP09	Piráti	154
TOP09	SPO	490
TOP09	KDU-ČSL	72
TOP09	ČSSD	288
TOP09	DSSS	566
TOP09	ANO	230
TOP09	ND	618
TOP09	KSČM	502
TOP09	BPI	528
TOP09	IvČRN	496
TOP09	Úsvit	468
TOP09	SPD	600
Piráti	SPO	536
Piráti	KDU-ČSL	154
Piráti	ČSSD	374
Piráti	DSSS	592
Piráti	ANO	298
Piráti	ND	634
Piráti	KSČM	542
Piráti	BPI	544
Piráti	IvČRN	514
Piráti	Úsvit	510
Piráti	SPD	626
SPO	KDU-ČSL	504
SPO	ČSSD	252
SPO	DSSS	122
SPO	ANO	404
SPO	ND	180
SPO	KSČM	88
SPO	BPI	116
SPO	IvČRN	140
SPO	Úsvit	92
SPO	SPD	154
KDU-ČSL	ČSSD	302
KDU-ČSL	DSSS	582
KDU-ČSL	ANO	250
KDU-ČSL	ND	632
KDU-ČSL	KSČM	504
KDU-ČSL	BPI	548
KDU-ČSL	IvČRN	520
KDU-ČSL	Úsvit	480
KDU-ČSL	SPD	606
ČSSD	DSSS	332
ČSSD	ANO	214
ČSSD	ND	406
ČSSD	KSČM	272
ČSSD	BPI	322
ČSSD	IvČRN	298
ČSSD	Úsvit	230
ČSSD	SPD	370
DSSS	ANO	472
DSSS	ND	124
DSSS	KSČM	164
DSSS	BPI	114
DSSS	IvČRN	134
DSSS	Úsvit	148
DSSS	SPD	72
ANO	ND	542
ANO	KSČM	442
ANO	BPI	434
ANO	IvČRN	394
ANO	Úsvit	384
ANO	SPD	496
ND	KSČM	206
ND	BPI	140
ND	IvČRN	176
ND	Úsvit	190
ND	SPD	100
KSČM	BPI	146
KSČM	IvČRN	184
KSČM	Úsvit	130
KSČM	SPD	182
BPI	IvČRN	86
BPI	Úsvit	110
BPI	SPD	126
IvČRN	Úsvit	128
IvČRN	SPD	144
Úsvit	SPD	166
